Transaction,Item,date_time,weekday_weekend
1,Indo Goreng,1/7/2024,weekday
1,Sedap Goreng,1/7/2024,weekday
1,Indo AB,1/7/2024,weekday
2,Amanah Galon,1/7/2024,weekday
2,Sunco 2L,1/7/2024,weekday
3,Minyak Kita 1L,1/7/2024,weekday
3,Indo AB,1/7/2024,weekday
3,Indo Goreng,1/7/2024,weekday
3,Kara,1/7/2024,weekday
3,Amanah Galon,1/7/2024,weekday
4,Gula Pasir,1/7/2024,weekday
4,Sunco 2L,1/7/2024,weekday
4,Sunco 1L,1/7/2024,weekday
4,Fortune 1L,1/7/2024,weekday
5,Amanah 330ml,1/7/2024,weekday
5,Amanah 500ml,1/7/2024,weekday
6,Gula Pasir,2/7/2024,weekday
6,Indo Goreng,2/7/2024,weekday
6,Indo AB,2/7/2024,weekday
7,Hemart 1L,2/7/2024,weekday
7,Minyak Kita 1L,2/7/2024,weekday
8,Sunco 2L,2/7/2024,weekday
8,Indo Soto,2/7/2024,weekday
8,Indo Goreng,2/7/2024,weekday
8,Segitiga 1Kg,2/7/2024,weekday
9,Amanah Galon,2/7/2024,weekday
9,Amanah 330ml,2/7/2024,weekday
9,Amanah 500ml,2/7/2024,weekday
9,Gula Pasir,2/7/2024,weekday
9,Hemart 1L,2/7/2024,weekday
10,Minyak Kita 1L,2/7/2024,weekday
10,Aqua Galon,2/7/2024,weekday
10,Amanah Galon,2/7/2024,weekday
10,Indo Goreng,2/7/2024,weekday
10,Indo Rendang,2/7/2024,weekday
10,Indo AB,2/7/2024,weekday
11,Gula Pasir,2/7/2024,weekday
12,Amanah Galon,2/7/2024,weekday
13,Kara,2/7/2024,weekday
13,Garam,2/7/2024,weekday
14,Sunco 2L,3/7/2024,weekday
14,Amanah Galon,3/7/2024,weekday
15,Indo Soto,3/7/2024,weekday
15,Indo Goreng,3/7/2024,weekday
15,Bango,3/7/2024,weekday
16,Amanah Galon,3/7/2024,weekday
16,Aqua Galon,3/7/2024,weekday
17,Segitiga 1Kg,3/7/2024,weekday
17,Sunlight,3/7/2024,weekday
17,Gula Pasir,3/7/2024,weekday
18,Amanah Galon,4/7/2024,weekday
19,Amanah 500ml,4/7/2024,weekday
19,Amanah Galon,4/7/2024,weekday
20,Gula Pasir,4/7/2024,weekday
20,Hemart 1L,4/7/2024,weekday
20,Segitiga 1Kg,4/7/2024,weekday
21,Indo Goreng,4/7/2024,weekday
21,Indo Aceh,4/7/2024,weekday
21,Indo AB,4/7/2024,weekday
22,Amanah Galon,4/7/2024,weekday
22,Indo Goreng,4/7/2024,weekday
22,Garam,4/7/2024,weekday
22,Gula Pasir,4/7/2024,weekday
23,Amanah Galon,4/7/2024,weekday
24,Amanah Galon,4/7/2024,weekday
25,Indo Goreng,4/7/2024,weekday
25,Sedap Goreng,4/7/2024,weekday
26,Sunco 2L,4/7/2024,weekday
26,Minyak Kita 1L,4/7/2024,weekday
26,Kara,4/7/2024,weekday
27,Gas 3Kg,5/7/2024,weekday
28,Bango,5/7/2024,weekday
28,Aqua Galon,5/7/2024,weekday
